value,count,year
19,816024,2010
20,877822,2010
21,945966,2010
22,1029825,2010
23,1148201,2010
24,1313062,2010
25,1513355,2010
26,1683559,2010
27,1780106,2010
28,1817128,2010
29,1802911,2010
30,1753947,2010
31,1682919,2010
32,1590345,2010
33,1477147,2010
34,1354985,2010
35,1235804,2010
36,1126801,2010
37,1020999,2010
38,910120,2010
39,806161,2010
40,711919,2010
41,628186,2010
42,555800,2010
43,491424,2010
44,436837,2010
45,389570,2010
46,347985,2010
47,311550,2010
48,285744,2010
49,265561,2010
50,244351,2010
51,224521,2010
52,206369,2010
53,187914,2010
54,169434,2010
55,153931,2010
56,139722,2010
57,130059,2010
58,121418,2010
59,114330,2010
60,108090,2010
61,102055,2010
62,95839,2010
63,91266,2010
64,86478,2010
65,82706,2010
66,79090,2010
67,76166,2010
68,74089,2010
69,72534,2010
70,71548,2010
71,70942,2010
72,69749,2010
73,69279,2010
74,67731,2010
75,66407,2010
76,64944,2010
77,62349,2010
78,58870,2010
79,53888,2010
80,49274,2010
81,43369,2010
82,37221,2010
83,30029,2010
84,23280,2010
85,16509,2010
86,10984,2010
87,6419,2010
88,3549,2010
89,1583,2010
90,626,2010
91,157,2010
92,24,2010
93,4,2010
0,954237,2011
1,371279,2011
2,247386,2011
3,378941,2011
4,878164,2011
5,1390185,2011
6,1508935,2011
7,1360073,2011
8,1166026,2011
9,1005189,2011
10,888659,2011
11,803221,2011
12,740840,2011
13,702040,2011
14,680413,2011
15,675141,2011
16,686174,2011
17,716897,2011
18,757494,2011
19,809217,2011
20,869565,2011
21,943484,2011
22,1026149,2011
23,1144493,2011
24,1305367,2011
25,1492627,2011
26,1648096,2011
27,1749145,2011
28,1788945,2011
29,1782957,2011
30,1737075,2011
31,1671883,2011
32,1585273,2011
33,1479402,2011
34,1357986,2011
35,1244468,2011
36,1139418,2011
37,1034755,2011
38,929002,2011
39,822645,2011
40,727958,2011
41,644962,2011
42,570397,2011
43,506850,2011
44,450983,2011
45,402933,2011
46,358782,2011
47,324411,2011
48,296291,2011
49,273580,2011
50,253046,2011
51,232448,2011
52,213051,2011
53,195251,2011
54,176881,2011
55,158373,2011
56,144442,2011
57,134493,2011
58,125368,2011
59,118102,2011
60,111532,2011
61,104795,2011
62,99476,2011
63,93691,2011
64,89247,2011
65,85580,2011
66,81617,2011
67,78688,2011
68,76079,2011
69,74422,2011
70,74031,2011
71,73081,2011
72,72851,2011
73,72561,2011
74,72148,2011
75,71156,2011
76,69561,2011
77,66711,2011
78,62934,2011
79,58679,2011
80,53209,2011
81,47030,2011
82,39606,2011
83,31871,2011
84,24181,2011
85,17376,2011
86,11435,2011
87,6854,2011
88,3586,2011
89,1575,2011
90,607,2011
91,141,2011
92,17,2011
93,4,2011
0,926494,2012
1,364444,2012
2,240911,2012
3,379467,2012
4,892326,2012
5,1360985,2012
6,1422716,2012
7,1252570,2012
8,1058432,2012
9,908519,2012
10,795649,2012
11,711049,2012
12,650558,2012
13,607428,2012
14,580263,2012
15,562515,2012
16,559574,2012
17,568338,2012
18,587910,2012
19,615040,2012
20,652110,2012
21,696625,2012
22,749447,2012
23,817801,2012
24,915198,2012
25,1050445,2012
26,1208314,2012
27,1361408,2012
28,1492138,2012
29,1589588,2012
30,1661553,2012
31,1703010,2012
32,1718150,2012
33,1695414,2012
34,1640547,2012
35,1563535,2012
36,1486157,2012
37,1394763,2012
38,1282109,2012
39,1161509,2012
40,1038693,2012
41,926563,2012
42,822772,2012
43,729226,2012
44,647948,2012
45,576582,2012
46,511194,2012
47,457615,2012
48,415228,2012
49,378885,2012
50,345014,2012
51,309900,2012
52,279252,2012
53,250812,2012
54,223438,2012
55,198117,2012
56,176984,2012
57,161899,2012
58,149503,2012
59,138629,2012
60,129143,2012
61,120304,2012
62,112451,2012
63,104242,2012
64,98799,2012
65,93555,2012
66,88480,2012
67,84729,2012
68,82134,2012
69,79133,2012
70,78035,2012
71,77135,2012
72,76854,2012
73,76235,2012
74,75582,2012
75,74681,2012
76,72926,2012
77,71106,2012
78,67924,2012
79,63506,2012
80,57792,2012
81,50614,2012
82,43555,2012
83,35075,2012
84,26657,2012
85,18802,2012
86,12122,2012
87,7195,2012
88,3758,2012
89,1661,2012
90,583,2012
91,140,2012
92,9,2012
0,918491,2013
1,362729,2013
2,244744,2013
3,372421,2013
4,927081,2013
5,1477011,2013
6,1525720,2013
7,1308103,2013
8,1080190,2013
9,916099,2013
10,801722,2013
11,720448,2013
12,663459,2013
13,625847,2013
14,603427,2013
15,596495,2013
16,601081,2013
17,620499,2013
18,655232,2013
19,696577,2013
20,747389,2013
21,808698,2013
22,884616,2013
23,987725,2013
24,1134776,2013
25,1314768,2013
26,1490828,2013
27,1622310,2013
28,1705529,2013
29,1741376,2013
30,1743798,2013
31,1712442,2013
32,1657962,2013
33,1578726,2013
34,1479002,2013
35,1375293,2013
36,1277365,2013
37,1176753,2013
38,1067556,2013
39,955950,2013
40,851263,2013
41,758043,2013
42,675384,2013
43,601844,2013
44,537539,2013
45,477539,2013
46,426983,2013
47,383353,2013
48,349698,2013
49,323477,2013
50,298344,2013
51,272807,2013
52,248287,2013
53,226594,2013
54,203330,2013
55,181498,2013
56,165035,2013
57,150646,2013
58,140258,2013
59,130723,2013
60,121942,2013
61,114698,2013
62,107795,2013
63,101108,2013
64,95884,2013
65,90672,2013
66,86768,2013
67,83547,2013
68,81767,2013
69,79878,2013
70,79537,2013
71,79499,2013
72,79434,2013
73,79234,2013
74,79652,2013
75,79150,2013
76,78134,2013
77,76090,2013
78,72978,2013
79,68598,2013
80,62686,2013
81,55697,2013
82,47641,2013
83,38899,2013
84,29882,2013
85,22048,2013
86,14672,2013
87,8970,2013
88,4882,2013
89,2412,2013
90,872,2013
91,225,2013
92,46,2013
0,940884,2014
1,338618,2014
2,247961,2014
3,389938,2014
4,870612,2014
5,1368030,2014
6,1494018,2014
7,1341584,2014
8,1137126,2014
9,963584,2014
10,838572,2014
11,746562,2014
12,684937,2014
13,644389,2014
14,620254,2014
15,614115,2014
16,624517,2014
17,652220,2014
18,694916,2014
19,745631,2014
20,805436,2014
21,878971,2014
22,968592,2014
23,1093044,2014
24,1270274,2014
25,1474636,2014
26,1655855,2014
27,1774761,2014
28,1824729,2014
29,1823402,2014
30,1786704,2014
31,1720948,2014
32,1636768,2014
33,1527937,2014
34,1408217,2014
35,1294657,2014
36,1187192,2014
37,1080329,2014
38,971134,2014
39,861797,2014
40,767684,2014
41,679907,2014
42,605065,2014
43,537240,2014
44,478028,2014
45,428919,2014
46,382357,2014
47,341966,2014
48,313075,2014
49,290443,2014
50,269292,2014
51,246522,2014
52,226130,2014
53,207489,2014
54,186677,2014
55,167238,2014
56,152813,2014
57,140578,2014
58,131235,2014
59,122930,2014
60,115902,2014
61,109469,2014
62,102670,2014
63,97542,2014
64,92699,2014
65,87266,2014
66,83563,2014
67,80975,2014
68,79038,2014
69,77179,2014
70,76599,2014
71,76563,2014
72,76548,2014
73,75938,2014
74,76256,2014
75,75897,2014
76,74130,2014
77,71856,2014
78,68567,2014
79,64381,2014
80,58497,2014
81,52158,2014
82,43823,2014
83,35983,2014
84,27229,2014
85,19773,2014
86,13163,2014
87,7810,2014
88,4257,2014
89,2008,2014
90,751,2014
91,204,2014
92,43,2014
93,4,2014
0,813329,2015
1,341095,2015
2,245255,2015
3,406558,2015
4,982621,2015
5,1560776,2015
6,1638837,2015
7,1411575,2015
8,1169375,2015
9,988125,2015
10,863299,2015
11,776782,2015
12,714720,2015
13,673595,2015
14,651957,2015
15,645215,2015
16,654818,2015
17,681104,2015
18,718413,2015
19,762990,2015
20,818178,2015
21,879015,2015
22,956631,2015
23,1066750,2015
24,1225884,2015
25,1410841,2015
26,1575115,2015
27,1675375,2015
28,1728609,2015
29,1726291,2015
30,1695538,2015
31,1644988,2015
32,1571414,2015
33,1476950,2015
34,1368265,2015
35,1262968,2015
36,1166454,2015
37,1070992,2015
38,966835,2015
39,863944,2015
40,771077,2015
41,689223,2015
42,612362,2015
43,545143,2015
44,488766,2015
45,436703,2015
46,390391,2015
47,351842,2015
48,321952,2015
49,297735,2015
50,276537,2015
51,253197,2015
52,231435,2015
53,211927,2015
54,190765,2015
55,171450,2015
56,155641,2015
57,144495,2015
58,133850,2015
59,125714,2015
60,117898,2015
61,110460,2015
62,104674,2015
63,98762,2015
64,92863,2015
65,88521,2015
66,84598,2015
67,81579,2015
68,80372,2015
69,78587,2015
70,77708,2015
71,77325,2015
72,77398,2015
73,77756,2015
74,77064,2015
75,76746,2015
76,74891,2015
77,72659,2015
78,68861,2015
79,65186,2015
80,59113,2015
81,52917,2015
82,45147,2015
83,36577,2015
84,28318,2015
85,20500,2015
86,13805,2015
87,8398,2015
88,4587,2015
89,2151,2015
90,823,2015
91,214,2015
92,38,2015
93,3,2015
0,841437,2016
1,371101,2016
2,238959,2016
3,337530,2016
4,829117,2016
5,1376230,2016
6,1510149,2016
7,1348268,2016
8,1138758,2016
9,968313,2016
10,847267,2016
11,757993,2016
12,698181,2016
13,655343,2016
14,634320,2016
15,627711,2016
16,637931,2016
17,662921,2016
18,700405,2016
19,749885,2016
20,806329,2016
21,871213,2016
22,953045,2016
23,1064655,2016
24,1222699,2016
25,1411294,2016
26,1575352,2016
27,1684145,2016
28,1740251,2016
29,1750781,2016
30,1725288,2016
31,1677911,2016
32,1609970,2016
33,1518592,2016
34,1415115,2016
35,1308315,2016
36,1214221,2016
37,1115018,2016
38,1007350,2016
39,901589,2016
40,804660,2016
41,718399,2016
42,639280,2016
43,569265,2016
44,509407,2016
45,453983,2016
46,405037,2016
47,364998,2016
48,331719,2016
49,307056,2016
50,284103,2016
51,261663,2016
52,238606,2016
53,216613,2016
54,196516,2016
55,175938,2016
56,159809,2016
57,146814,2016
58,136840,2016
59,128189,2016
60,119668,2016
61,112606,2016
62,105558,2016
63,99580,2016
64,93900,2016
65,89940,2016
66,85449,2016
67,82850,2016
68,81209,2016
69,79631,2016
70,80087,2016
71,80238,2016
72,79751,2016
73,80736,2016
74,80887,2016
75,81472,2016
76,80884,2016
77,79695,2016
78,76661,2016
79,71984,2016
80,67104,2016
81,59834,2016
82,51380,2016
83,42112,2016
84,32767,2016
85,23695,2016
86,16038,2016
87,9566,2016
88,5329,2016
89,2562,2016
90,896,2016
91,230,2016
92,29,2016
93,5,2016
0,842366,2017
1,368476,2017
2,240055,2017
3,346009,2017
4,845081,2017
5,1401367,2017
6,1522275,2017
7,1356244,2017
8,1146183,2017
9,976900,2017
10,852389,2017
11,763537,2017
12,698692,2017
13,658568,2017
14,629346,2017
15,622568,2017
16,630439,2017
17,652306,2017
